Flat profile:

Each sample counts as 0.01 seconds.
  %   cumulative   self              self     total           
 time   seconds   seconds    calls   s/call   s/call  name    
  0.00      1.61     0.00   918194     0.00     0.00  void std::iter_swap<__gnu_cxx::__normal_iterator<RenjuAINegamax::Move*, std::vector<RenjuAINegamax::Move, std::allocator<RenjuAINegamax::Move> > >, __gnu_cxx::__normal_iterator<RenjuAINegamax::Move*, std::vector<RenjuAINegamax::Move, std::allocator<RenjuAINegamax::Move> > > >(__gnu_cxx::__normal_iterator<RenjuAINegamax::Move*, std::vector<RenjuAINegamax::Move, std::allocator<RenjuAINegamax::Move> > >, __gnu_cxx::__normal_iterator<RenjuAINegamax::Move*, std::vector<RenjuAINegamax::Move, std::allocator<RenjuAINegamax::Move> > >)
  0.00      1.61     0.00   917266     0.00     0.00  bool __gnu_cxx::operator!=<RenjuAINegamax::Move*, std::vector<RenjuAINegamax::Move, std::allocator<RenjuAINegamax::Move> > >(__gnu_cxx::__normal_iterator<RenjuAINegamax::Move*, std::vector<RenjuAINegamax::Move, std::allocator<RenjuAINegamax::Move> > > const&, __gnu_cxx::__normal_iterator<RenjuAINegamax::Move*, std::vector<RenjuAINegamax::Move, std::allocator<RenjuAINegamax::Move> > > const&)
  0.00      1.61     0.00   893571     0.00     0.00  operator new(unsigned long, void*)
  0.00      1.61     0.00   893410     0.00     0.00  RenjuAIEval::evalMove(char const*, int, int, int)
  0.00      1.61     0.00   893410     0.00     0.00  void __gnu_cxx::new_allocator<RenjuAINegamax::Move>::construct<RenjuAINegamax::Move, RenjuAINegamax::Move const&>(RenjuAINegamax::Move*, RenjuAINegamax::Move const&)
  0.00      1.61     0.00   893410     0.00     0.00  _ZNSt16allocator_traitsISaIN14RenjuAINegamax4MoveEEE9constructIS1_IRKS1_EEEvRS2_PT_DpOT0_
  0.00      1.61     0.00   893410     0.00     0.00  std::vector<RenjuAINegamax::Move, std::allocator<RenjuAINegamax::Move> >::push_back(RenjuAINegamax::Move const&)
  0.00      1.61     0.00   852922     0.00     0.00  __gnu_cxx::__ops::__val_comp_iter(__gnu_cxx::__ops::_Iter_less_iter)
  0.00      1.61     0.00   852922     0.00     0.00  void std::__unguarded_linear_insert<__gnu_cxx::__normal_iterator<RenjuAINegamax::Move*, std::vector<RenjuAINegamax::Move, std::allocator<RenjuAINegamax::Move> > >, __gnu_cxx::__ops::_Val_less_iter>(__gnu_cxx::__normal_iterator<RenjuAINegamax::Move*, std::vector<RenjuAINegamax::Move, std::allocator<RenjuAINegamax::Move> > >, __gnu_cxx::__ops::_Val_less_iter)
  0.00      1.61     0.00   486828     0.00     0.00  std::vector<RenjuAINegamax::Move, std::allocator<RenjuAINegamax::Move> >::size() const
  0.00      1.61     0.00   404992     0.00     0.00  __gnu_cxx::__normal_iterator<RenjuAINegamax::Move*, std::vector<RenjuAINegamax::Move, std::allocator<RenjuAINegamax::Move> > >::__normal_iterator(RenjuAINegamax::Move* const&)
  0.00      1.61     0.00   284940     0.00     0.00  __gnu_cxx::new_allocator<RenjuAINegamax::Move>::max_size() const
  0.00      1.61     0.00   284940     0.00     0.00  std::_Iter_base<RenjuAINegamax::Move*, false>::_S_base(RenjuAINegamax::Move*)
  0.00      1.61     0.00   284940     0.00     0.00  std::_Niter_base<RenjuAINegamax::Move*>::iterator_type std::__niter_base<RenjuAINegamax::Move*>(RenjuAINegamax::Move*)
  0.00      1.61     0.00   280518     0.00     0.00  __gnu_cxx::__normal_iterator<RenjuAINegamax::Move*, std::vector<RenjuAINegamax::Move, std::allocator<RenjuAINegamax::Move> > >::operator+(long) const
  0.00      1.61     0.00   251958     0.00     0.00  __gnu_cxx::__normal_iterator<RenjuAINegamax::Move*, std::vector<RenjuAINegamax::Move, std::allocator<RenjuAINegamax::Move> > >::difference_type __gnu_cxx::operator-<RenjuAINegamax::Move*, std::vector<RenjuAINegamax::Move, std::allocator<RenjuAINegamax::Move> > >(__gnu_cxx::__normal_iterator<RenjuAINegamax::Move*, std::vector<RenjuAINegamax::Move, std::allocator<RenjuAINegamax::Move> > > const&, __gnu_cxx::__normal_iterator<RenjuAINegamax::Move*, std::vector<RenjuAINegamax::Move, std::allocator<RenjuAINegamax::Move> > > const&)
  0.00      1.61     0.00   201888     0.00     0.00  std::_Vector_base<RenjuAINegamax::Move, std::allocator<RenjuAINegamax::Move> >::_M_get_Tp_allocator()
  0.00      1.61     0.00   189960     0.00     0.00  std::_Vector_base<RenjuAINegamax::Move, std::allocator<RenjuAINegamax::Move> >::_M_get_Tp_allocator() const
  0.00      1.61     0.00   189960     0.00     0.00  std::move_iterator<RenjuAINegamax::Move*>::base() const
  0.00      1.61     0.00   189960     0.00     0.00  std::vector<RenjuAINegamax::Move, std::allocator<RenjuAINegamax::Move> >::max_size() const
  0.00      1.61     0.00   189960     0.00     0.00  std::_Iter_base<std::move_iterator<RenjuAINegamax::Move*>, true>::_S_base(std::move_iterator<RenjuAINegamax::Move*>)
  0.00      1.61     0.00   189960     0.00     0.00  std::move_iterator<RenjuAINegamax::Move*>::move_iterator(RenjuAINegamax::Move*)
  0.00      1.61     0.00   189960     0.00     0.00  std::allocator_traits<std::allocator<RenjuAINegamax::Move> >::max_size(std::allocator<RenjuAINegamax::Move> const&)
  0.00      1.61     0.00   189960     0.00     0.00  std::_Miter_base<std::move_iterator<RenjuAINegamax::Move*> >::iterator_type std::__miter_base<std::move_iterator<RenjuAINegamax::Move*> >(std::move_iterator<RenjuAINegamax::Move*>)
  0.00      1.61     0.00   189960     0.00     0.00  std::move_iterator<RenjuAINegamax::Move*> std::__make_move_if_noexcept_iterator<RenjuAINegamax::Move*, std::move_iterator<RenjuAINegamax::Move*> >(RenjuAINegamax::Move*)
  0.00      1.61     0.00   119183     0.00     0.00  RenjuAIUtils::setCell(char*, int, int, char)
  0.00      1.61     0.00   106908     0.00     0.00  void std::_Destroy_aux<true>::__destroy<RenjuAINegamax::Move*>(RenjuAINegamax::Move*, RenjuAINegamax::Move*)
  0.00      1.61     0.00   106908     0.00     0.00  void std::_Destroy<RenjuAINegamax::Move*>(RenjuAINegamax::Move*, RenjuAINegamax::Move*)
  0.00      1.61     0.00   106908     0.00     0.00  void std::_Destroy<RenjuAINegamax::Move*, RenjuAINegamax::Move>(RenjuAINegamax::Move*, RenjuAINegamax::Move*, std::allocator<RenjuAINegamax::Move>&)
  0.00      1.61     0.00    95007     0.00     0.00  unsigned long const& std::max<unsigned long>(unsigned long const&, unsigned long const&)
  0.00      1.61     0.00    94980     0.00     0.00  __gnu_cxx::new_allocator<RenjuAINegamax::Move>::deallocate(RenjuAINegamax::Move*, unsigned long)
  0.00      1.61     0.00    94980     0.00     0.00  __gnu_cxx::new_allocator<RenjuAINegamax::Move>::allocate(unsigned long, void const*)
  0.00      1.61     0.00    94980     0.00     0.00  std::vector<RenjuAINegamax::Move, std::allocator<RenjuAINegamax::Move> >::_M_check_len(unsigned long, char const*) const
  0.00      1.61     0.00    94980     0.00     0.00  std::_Vector_base<RenjuAINegamax::Move, std::allocator<RenjuAINegamax::Move> >::_M_allocate(unsigned long)
  0.00      1.61     0.00    94980     0.00     0.00  std::allocator_traits<std::allocator<RenjuAINegamax::Move> >::deallocate(std::allocator<RenjuAINegamax::Move>&, RenjuAINegamax::Move*, unsigned long)
  0.00      1.61     0.00    94980     0.00     0.00  std::allocator_traits<std::allocator<RenjuAINegamax::Move> >::allocate(std::allocator<RenjuAINegamax::Move>&, unsigned long)
  0.00      1.61     0.00    94980     0.00     0.00  RenjuAINegamax::Move* std::__uninitialized_copy<true>::__uninit_copy<std::move_iterator<RenjuAINegamax::Move*>, RenjuAINegamax::Move*>(std::move_iterator<RenjuAINegamax::Move*>, std::move_iterator<RenjuAINegamax::Move*>, RenjuAINegamax::Move*)
  0.00      1.61     0.00    94980     0.00     0.00  void std::vector<RenjuAINegamax::Move, std::allocator<RenjuAINegamax::Move> >::_M_emplace_back_aux<RenjuAINegamax::Move const&>(RenjuAINegamax::Move const&)
  0.00      1.61     0.00    94980     0.00     0.00  RenjuAINegamax::Move* std::__copy_move_a2<true, RenjuAINegamax::Move*, RenjuAINegamax::Move*>(RenjuAINegamax::Move*, RenjuAINegamax::Move*, RenjuAINegamax::Move*)
  0.00      1.61     0.00    94980     0.00     0.00  RenjuAINegamax::Move* std::uninitialized_copy<std::move_iterator<RenjuAINegamax::Move*>, RenjuAINegamax::Move*>(std::move_iterator<RenjuAINegamax::Move*>, std::move_iterator<RenjuAINegamax::Move*>, RenjuAINegamax::Move*)
  0.00      1.61     0.00    94980     0.00     0.00  RenjuAINegamax::Move* std::__uninitialized_copy_a<std::move_iterator<RenjuAINegamax::Move*>, RenjuAINegamax::Move*, RenjuAINegamax::Move>(std::move_iterator<RenjuAINegamax::Move*>, std::move_iterator<RenjuAINegamax::Move*>, RenjuAINegamax::Move*, std::allocator<RenjuAINegamax::Move>&)
